gene,k562_chronos,pan_mean_chronos,selective_score
CAPN1,6.153805336079036,6.31444784159802,-0.16064250551898418
ACP3,0.632268215499513,0.9201192441606993,-0.2878510286611864
MDH1,7.511752653767379,7.311997985079871,0.19975466868750846
SLC30A9,5.259272487037594,4.783184408462615,0.47608807857497926
MTMR11,0.6599245584023783,2.613414975505493,-1.9534904171031147
COX15,4.669593751188333,4.640562064619863,0.02903168656846944
CCDC88C,2.91456452349394,2.874831411346358,0.03973311214758235
YAF2,3.9001422603598166,3.701093130524435,0.1990491298353816
ZMYND11,3.1538053360790355,4.716197498294939,-1.5623921622159034
WAS,2.871843648509318,1.3068037941617965,1.5650398543475215
DPEP1,0.1110313123887439,0.6368103976535716,-0.5257790852648278
BID,5.693208148910016,5.246718116504101,0.4464900324059151
MATR3,7.060587860595636,7.197641733792502,-0.13705387319686668
NPC1L1,0.0426443374084937,0.2407951442168762,-0.19815080680838248
XYLT2,3.27500704749987,3.845249720579681,-0.5702426730798114
RGPD5,0.6959938131099002,2.819674909162047,-2.123681096052147
STMN4,0.0,0.24849430469773495,-0.24849430469773495
NUDCD3,4.877253453876608,5.363202478312496,-0.4859490244358877
ISL1,0.2868811477881615,0.8408829974114495,-0.5540018496232879
CHDH,0.7824085649273732,1.0150764564376311,-0.2326678915102579
IL20RA,0.2141248053528473,0.8333964456749038,-0.6192716403220565
CLCA1,0.0,0.06797404520526787,-0.06797404520526787
CLCA4,0.01435529297707,0.10252655548620535,-0.08817126250913535
GLT8D1,4.960233671694454,5.405604802823171,-0.4453711311287165
ATP2C1,4.60821785302146,5.645953882865702,-1.0377360298442415
IGF1,4.819157223674968,0.41057295951180756,4.40858426416316
SLC38A5,5.5786368624717415,2.589123843333689,2.9895130191380526
RALBP1,5.360364276543471,4.913389107933857,0.4469751686096144
RUFY3,5.071247819461442,3.9812402142108727,1.0900076052505696
CNTN1,0.070389327891398,1.1007178712132384,-1.0303285433218403
SLC11A1,0.7048719644563528,0.291073139814713,0.4137988246416398
WWTR1,0.1634987322828795,4.028385184940515,-3.864886452657635
AGPS,5.129283016944966,4.527232266831463,0.6020507501135031
CXorf56,4.907852071845964,4.7434575681721,0.1643945036738641
ATP1A2,0.0565835283663675,0.16809716984874112,-0.11151364148237362
TTC27,4.60584986719498,3.628891774511614,0.9769580926833661
ZNF582,1.6369145803558778,0.9532954276003908,0.683619152755487
VSIG2,0.0,0.4537618880166217,-0.4537618880166217
PHLDB1,4.01435529297707,4.029750255203264,-0.01539496222619352
